	tag	treatment	site	species	condition	treated	month
BS3-2507-HD-C	2507	none	BS3	MCAV	HD	NO	Nov
BS3-2512-DD-A	2512	none	BS3	MCAV	DD	NO	July
BS3-2512-HD-A	2512	none	BS3	MCAV	HD	NO	July
BS3-2512-HH-B	2512	probiotic paste and bag	BS3	MCAV	HH	YES	Aug
BS3-2512-HH-C	2512	probiotic paste and bag	BS3	MCAV	HH	YES	Nov
BS3-2513-DD-A	2513	none	BS3	MCAV	DD	NO	July
BS3-2513-DD-B	2513	probiotic paste and bag	BS3	MCAV	DD	YES	Aug
BS3-2513-DD-C	2513	probiotic paste and bag	BS3	MCAV	DD	YES	Nov
BS3-2513-HD-A	2513	none	BS3	MCAV	HD	NO	July
BS3-2513-HD-B	2513	probiotic paste and bag	BS3	MCAV	HD	YES	Aug
BS3-2513-HD-C	2513	probiotic paste and bag	BS3	MCAV	HD	YES	Nov
BS3-2516-DD-A	2516	none	BS3	MCAV	DD	NO	July
BS3-2516-DD-B	2516	none	BS3	MCAV	DD	NO	Aug
BS3-2516-DD-C	2516	none	BS3	MCAV	DD	NO	Nov
BS3-2516-HD-A	2516	none	BS3	MCAV	HD	NO	July
BS3-2516-HD-B	2516	none	BS3	MCAV	HD	NO	Aug
BS3-2516-HD-C	2516	none	BS3	MCAV	HD	NO	Nov
BS3-2517-HH-A	2517	none	BS3	MCAV	HH	NO	July
BS3-2517-HH-B	2517	none	BS3	MCAV	HH	NO	Aug
BS3-2517-HH-C	2517	none	BS3	MCAV	HH	NO	Nov
BS3-2549-DD-A	2549	none	BS3	MCAV	DD	NO	July
BS3-2549-HD-A	2549	none	BS3	MCAV	HD	NO	July
BS3-2549-HH-B	2549	none	BS3	MCAV	HH	NO	Aug
BS3-2549-HH-C	2549	none	BS3	MCAV	HH	NO	Nov
BS3-2562-DD-A	2562	none	BS3	MCAV	DD	NO	July
BS3-2564-HH-A	2564	none	BS3	MCAV	HH	NO	July
BS3-2564-HH-B	2564	none	BS3	MCAV	HH	NO	Aug
BS3-2564-HH-C	2564	none	BS3	MCAV	HH	NO	Nov
BS3-2565-HH-A	2565	none	BS3	MCAV	HH	NO	July
BS3-2565-HH-B	2565	none	BS3	MCAV	HH	NO	Aug
BS3-2565-HH-C	2565	none	BS3	MCAV	HH	NO	Nov
BS3-2568-DD-A	2568	none	BS3	MCAV	DD	NO	July
BS3-2568-DD-B	2568	probiotic paste and bag	BS3	MCAV	DD	YES	Aug
BS3-2568-DD-C	2568	probiotic paste and bag	BS3	MCAV	DD	YES	Nov
BS3-2568-HD-A	2568	none	BS3	MCAV	HD	NO	July
BS3-2568-HD-B	2568	probiotic paste and bag	BS3	MCAV	HD	YES	Aug
BS3-2568-HD-C	2568	probiotic paste and bag	BS3	MCAV	HD	YES	Nov
BS3-2569-DD-A	2569	none	BS3	MCAV	DD	NO	July
BS3-2569-DD-B	2569	control paste and bag	BS3	MCAV	DD	NO	Aug
BS3-2569-HD-A	2569	none	BS3	MCAV	HD	NO	July
BS3-2569-HD-B	2569	control paste and bag	BS3	MCAV	HD	NO	Aug
BS3-2569-HH-C	2569	control paste and bag	BS3	MCAV	HH	NO	Nov
BS3-2581-DD-A	2581	none	BS3	MCAV	DD	NO	July
BS3-2581-DD-B	2581	control paste and bag	BS3	MCAV	DD	NO	Aug
BS3-2581-DD-C	2581	control paste and bag	BS3	MCAV	DD	NO	Nov
BS3-2581-HD-A	2581	none	BS3	MCAV	HD	NO	July
BS3-2581-HD-B	2581	control paste and bag	BS3	MCAV	HD	NO	Aug
BS3-2581-HD-C	2581	control paste and bag	BS3	MCAV	HD	NO	Nov
BS3-2615-H-A	2615	resistant	BS3	MCAV	HH	NO	July
BS3-2615-H-B	2615	resistant	BS3	MCAV	HH	NO	Aug
BS3-2615-H-C	2615	resistant	BS3	MCAV	HH	NO	Nov
BS3-2628-H-A	2628	resistant	BS3	MCAV	HH	NO	July
BS3-2628-H-B	2628	resistant	BS3	MCAV	HH	NO	Aug
BS3-2628-H-C	2628	resistant	BS3	MCAV	HH	NO	Nov
BS3-2629-DD-A	2629	none	BS3	MCAV	DD	NO	July
BS3-2629-DD-B	2629	none	BS3	MCAV	DD	NO	Aug
BS3-2629-HD-A	2629	none	BS3	MCAV	HD	NO	July
BS3-2629-HD-B	2629	none	BS3	MCAV	HD	NO	Aug
BS3-2629-HH-C	2629	none	BS3	MCAV	HH	NO	Nov
BS3-2631-H-A	2631	resistant	BS3	MCAV	HH	NO	July
BS3-2631-H-B	2631	resistant	BS3	MCAV	HH	NO	Aug
BS3-2631-H-C	2631	resistant	BS3	MCAV	HH	NO	Nov
BS3-2634-DD-A	2634	none	BS3	MCAV	DD	NO	July
BS3-2634-DD-B	2634	none	BS3	MCAV	DD	NO	Aug
BS3-2634-DD-C	2634	none	BS3	MCAV	DD	NO	Nov
BS3-2634-HD-A	2634	none	BS3	MCAV	HD	NO	July
BS3-2634-HD-B	2634	none	BS3	MCAV	HD	NO	Aug
BS3-2634-HD-C	2634	none	BS3	MCAV	HD	NO	Nov
BS3-2635-DD-A	2635	none	BS3	MCAV	DD	NO	July
BS3-2635-DD-B	2635	none	BS3	MCAV	DD	NO	Aug
BS3-2635-DD-C	2635	none	BS3	MCAV	DD	NO	Nov
BS3-2635-HD-A	2635	none	BS3	MCAV	HD	NO	July
BS3-2635-HD-B	2635	none	BS3	MCAV	HD	NO	Aug
BS3-2635-HD-C	2635	none	BS3	MCAV	HD	NO	Nov
BS3-2688-DD-A	2688	none	BS3	MCAV	DD	NO	July
BS3-2688-DD-B	2688	none	BS3	MCAV	DD	NO	Aug
BS3-2688-HD-A	2688	none	BS3	MCAV	HD	NO	July
BS3-2688-HD-B	2688	none	BS3	MCAV	HD	NO	Aug
BS3-2688-HH-C	2688	none	BS3	MCAV	HH	NO	Nov
BS3-2697-H-A	2697	resistant	BS3	MCAV	HH	NO	July
BS3-2697-H-B	2697	resistant	BS3	MCAV	HH	NO	Aug
BS3-2697-H-C	2697	resistant	BS3	MCAV	HH	NO	Nov
BS3-2698-H-A	2698	resistant	BS3	MCAV	HH	NO	July
BS3-2698-H-B	2698	resistant	BS3	MCAV	HH	NO	Aug
BS3-2698-H-C	2698	resistant	BS3	MCAV	HH	NO	Nov
BS3-2753-DD-A	2753	none	BS3	MCAV	DD	NO	July
BS3-2753-DD-B	2753	none	BS3	MCAV	DD	NO	Aug
BS3-2753-DD-C	2753	none	BS3	MCAV	DD	NO	Nov
BS3-2753-HD-A	2753	none	BS3	MCAV	HD	NO	July
BS3-2753-HD-B	2753	none	BS3	MCAV	HD	NO	Aug
BS3-2753-HD-C	2753	none	BS3	MCAV	HD	NO	Nov
BS3-2769-DD-A	2769	none	BS3	MCAV	DD	NO	July
BS3-2769-H-B	2769	probiotic paste and bag	BS3	MCAV	HH	YES	Aug
BS3-2769-HD-A	2769	none	BS3	MCAV	HD	NO	July
BS3-2769-HD-C	2769	none	BS3	MCAV	HD	NO	Nov
BS3-2769-HH-C	2769	probiotic paste and bag	BS3	MCAV	HH	YES	Nov
BS3-2799-DD-A	2799	none	BS3	MCAV	DD	NO	July
BS3-2799-DD-B	2799	control paste and bag	BS3	MCAV	DD	NO	Aug
BS3-2799-DD-C	2799	control paste and bag	BS3	MCAV	DD	NO	Nov
BS3-2799-HD-A	2799	none	BS3	MCAV	HD	NO	July
BS3-2799-HD-B	2799	control paste and bag	BS3	MCAV	HD	NO	Aug
BS3-2799-HD-C	2799	control paste and bag	BS3	MCAV	HD	NO	Nov
BS3-2814-HD-C	2814	none	BS3	MCAV	HD	NO	Nov
BS3-2832-H-B	2832	none	BS3	MCAV	HH	NO	Aug
BS3-2832-HH-A	2832	none	BS3	MCAV	HH	NO	July
BS3-2832-HH-C	2832	none	BS3	MCAV	HH	NO	Nov
BS3-2834-DD-B	2834	none	BS3	MCAV	DD	NO	Aug
BS3-2834-DD-C	2834	none	BS3	MCAV	DD	NO	Nov
BS3-2834-HD-B	2834	none	BS3	MCAV	HD	NO	Aug
BS3-2834-HD-C	2834	none	BS3	MCAV	HD	NO	Nov
BS3-2848-HH-A	2848	none	BS3	MCAV	HH	NO	July
BS3-2848-HH-B	2848	none	BS3	MCAV	HH	NO	Aug
BS3-2848-HH-C	2848	none	BS3	MCAV	HH	NO	Nov
BS3-2880-DD-A	2880	none	BS3	MCAV	DD	NO	July
BS3-2880-HD-A	2880	none	BS3	MCAV	HD	NO	July
BS3-2880-HH-B	2880	none	BS3	MCAV	HH	NO	Aug
BS3-2880-HH-C	2880	none	BS3	MCAV	HH	NO	Nov
BS3-2896-HH-A	2896	none	BS3	MCAV	HH	NO	July
BS3-2896-HH-B	2896	none	BS3	MCAV	HH	NO	Aug
BS3-2896-HH-C	2896	none	BS3	MCAV	HH	NO	Nov
BS3-2897-HH-A	2897	none	BS3	MCAV	HH	NO	July
BS3-2897-HH-B	2897	none	BS3	MCAV	HH	NO	Aug
BS3-2897-HH-C	2897	none	BS3	MCAV	HH	NO	Nov
BS3-2899-HD-C	2899	none	BS3	MCAV	HD	NO	Nov
BS3-2899-HH-A	2899	none	BS3	MCAV	HH	NO	July
BS3-2899-HH-B	2899	none	BS3	MCAV	HH	NO	Aug
BS3-2899-HH-C	2899	none	BS3	MCAV	HH	NO	Nov
